ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Glottolog_Name
amarasi,Amarasi,Papunesia,-10.21751,123.96373,amar1273,aaz,Austronesian,Amarasi
americanenglishsouthernmichigan,American English: Southern Michigan,Eurasia,,,nort3317,eng,Indo-European,North Central American English
amharic,Amharic,Africa,11.708182,39.543456,amha1245,amh,Afro-Asiatic,Amharic
arabic,Arabic,Eurasia,27.9625,43.8525,stan1318,arb,Afro-Asiatic,Standard Arabic
assamese,Assamese,Eurasia,26.0876,91.2932,assa1263,asm,Indo-European,Assamese
australianenglish,Australian English,Eurasia,,,aust1314,eng,Indo-European,Australian English
azerbaijani,Azerbaijani,Eurasia,40.9777,46.4737,nort2697,azj,Turkic,North Azerbaijani
bardi,Bardi,Australia,-16.6274,122.906,bard1255,bcj,Nyulnyulan,Bardi
basaa,Basaá,Africa,3.80765,10.4213,basa1284,bas,Atlantic-Congo,Basa (Cameroon)
basquewesterlownavarresedialect,Basque (Wester Low Navarrese dialect),Eurasia,,,west1508,eus,Basque,Western Low Navarrese
bearnaisgascon,Béarnais (Gascon),Eurasia,44.1415,6.82979,occi1239,oci,Indo-European,Occitan
belgianlimburgdialectofhamont,Belgian Limburg dialect of Hamont,Eurasia,51.015,5.87705,limb1263,lim,Indo-European,Limburgan
belgianstandarddutch,Belgian Standard Dutch,,,,,nld,,
bemba,Bemba,Africa,-10.6122,29.2993,bemb1257,bem,Atlantic-Congo,Bemba (Zambia)
bengalibangladeshistandard,Bengali (Bangladeshi Standard),Eurasia,24.0,90.0,beng1280,ben,Indo-European,Bengali
brazilianportuguese,Brazilian Portuguese,Eurasia,,,braz1246,por,Indo-European,Brazilian Portuguese
bretonoftheisleofgroix,Breton of the Isle of Groix,Eurasia,48.2452,-3.78934,bret1244,bre,Indo-European,Breton
bretontregerdialect,Breton (Treger dialect),Eurasia,,,treg1244,bre,Indo-European,Tregorrois
britishenglishreceivedpronunciation,British English: Received Pronunciation,Eurasia,53.0,-1.0,stan1293,eng,Indo-European,English
bruneimalay,Brunei Malay,Papunesia,,,brun1243,kxd,Austronesian,Brunei Malay
bukharantajik,Bukharan Tajik,Eurasia,38.8213,68.5549,taji1245,tgk,Indo-European,Tajik
bulgarian,Bulgarian,Eurasia,43.3646,25.047,bulg1262,bul,Indo-European,Bulgarian
burmese,Burmese,Eurasia,20.7926,93.9665,nucl1310,mya,Sino-Tibetan,Burmese
castilianspanish,Castilian Spanish,Eurasia,,,cast1244,spa,Indo-European,Castilian
catalan,Catalan,Eurasia,41.453,1.569,stan1289,cat,Indo-European,Catalan
centralarrernte,Central Arrernte,Australia,-23.3583,135.046,east2379,aer,Pama-Nyungan,Eastern Arrernte
centralsama,Central Sama,Papunesia,7.004574,118.455978,cent2092,sml,Austronesian,Central Sama
chicahuaxtlatriqui,Chicahuaxtla Triqui,North America,17.1628,-97.8547,chic1273,trs,Otomanguean,Chicahuaxtla Triqui
chikasaw,Chikasaw,North America,34.0,-88.0,chic1270,cic,Muskogean,Chickasaw
chinesehongkongcantonese,Chinese (Hong Kong Cantonese),Eurasia,23.0,113.0,yuec1235,yue,Sino-Tibetan,Yue Chinese
chistabinopyreneanaragonese,Chistabino (Pyrenean Aragonese),Eurasia,42.4669,-0.00919,arag1245,arg,Indo-European,Aragonese
cicipu,Cicipu,Africa,11.0417,5.54073,cici1237,awc,Atlantic-Congo,Cicipu
cocosmalay,Cocos Malay,Papunesia,-12.193342,96.833679,coco1260,coa,Austronesian,Cocos Islands Malay
croatian,Croatian,Eurasia,45.555,15.982,croa1245,hrv,Indo-European,Croatian Standard
cypriotgreek,Cypriot Greek,Eurasia,34.924591,32.978113,cypr1249,ell,Indo-European,Cypriot Greek
czech,Czech,Eurasia,49.873398,15.10437,czec1258,ces,Indo-European,Czech
czechspokeninbohemia,Czech spoken in Bohemia,Eurasia,,,cent1953,ces,Indo-European,Central Bohemian
czechspokeninmoravia,Czech spoken in Moravia,Eurasia,,,czec1259,ces,Indo-European,Czecho-Moravian
danish,Danish,Eurasia,54.8655,9.36284,dani1285,dan,Indo-European,Danish
dariafghanpersianformal,Dari Afghan Persian Formal,Eurasia,31.0405,67.3593,dari1249,prs,Indo-European,Dari
dariafghanpersianinformal,Dari Afghan Persian Informal,Eurasia,31.0405,67.3593,dari1249,prs,Indo-European,Dari
dialectofmaastricht,Dialect of Maastricht,,,,,nld,,
dutch,Dutch,Eurasia,52.0,5.0,dutc1256,nld,Indo-European,Dutch
ega,Ega,Africa,5.56081,-5.41732,egaa1242,ega,Atlantic-Congo,Ega
ersu,Ersu,Eurasia,29.2867,102.213,ersu1241,ers,Sino-Tibetan,Ersu
europeanportuguese,European Portuguese,Eurasia,39.91,-8.1,port1283,por,Indo-European,Portuguese
french,French,Eurasia,48.0,2.0,stan1290,fra,Indo-European,French
friulian,Friulian,Eurasia,46.1473,13.0493,friu1240,fur,Indo-European,Friulian
galician,Galician,Eurasia,42.2446,-7.5343,gali1258,glg,Indo-European,Galician
gayo,Gayo,Papunesia,4.3733,97.3456,gayo1244,gay,Austronesian,Gayo
gitksan,Gitksan,North America,55.09,-128.08,gitx1241,git,Tsimshian,Gitxsan
goemai,Goemai,Africa,8.74455,9.72453,goem1240,ank,Afro-Asiatic,Goemai
goizuetabasque,Goizueta Basque,Eurasia,,,guip1235,eus,Basque,Guipuzcoan
greekthracexoraxaneromane,Greek Thrace Xoraxane Romane,Eurasia,42.67,21.17,balk1252,rmn,Indo-European,Balkan Romani
hakkachinese,Hakka Chinese,Eurasia,25.0,116.0,hakk1236,hak,Sino-Tibetan,Hakka Chinese
hanoivietnamese,Hanoi Vietnamese,Eurasia,20.681188,105.774071,viet1252,vie,Austroasiatic,Vietnamese
hausa,Hausa,Africa,11.1513,8.7804,haus1257,hau,Afro-Asiatic,Hausa
hebrew,Hebrew,Eurasia,31.1056,35.0179,hebr1245,heb,Afro-Asiatic,Modern Hebrew
hindi,Hindi,Eurasia,25.0,77.0,hind1269,hin,Indo-European,Hindi
hungarian,Hungarian,Eurasia,46.9068585714,19.6555271429,hung1274,hun,Uralic,Hungarian
ibibio,Ibibio,Africa,5.15279,7.86688,ibib1240,ibb,Atlantic-Congo,Ibibio
igbo,Igbo,Africa,4.62705,7.23441,nucl1417,ibo,Atlantic-Congo,Igbo
ikaigbo,Ika Igbo,Africa,6.36423,6.31058,ikaa1238,ikk,Atlantic-Congo,Ika
indonesian,Indonesian,Papunesia,-7.33458,109.716,indo1316,ind,Austronesian,Indonesian
irish,Irish,Eurasia,53.2186,-7.61509,iris1253,gle,Indo-European,Irish
istanbuljudeospanish,Istanbul Judeo-Spanish,Eurasia,41.205,28.6632,ladi1251,lad,Indo-European,Ladino
isthmusjuchitanzapotec,Isthmus (Juchitán) Zapotec,North America,16.4548,-94.8444,isth1244,zai,Otomanguean,Isthmus Zapotec
italian,Italian,Eurasia,43.0464,12.6489,ital1282,ita,Indo-European,Italian
itunyosotrique,Itunyoso Trique,Eurasia,36.23,44.37,lish1246,trg,Afro-Asiatic,Lishán Didán
jamaicancreole,Jamaican Creole,North America,18.13,-77.2612,jama1262,jam,Indo-European,Jamaican Creole English
japanese,Japanese,Eurasia,35.0,135.0,nucl1643,jpn,Japonic,Japanese
jicarillaapache,Jicarilla Apache,North America,36.8079,-107.007,jica1244,apj,Athabaskan-Eyak-Tlingit,Jicarilla Apache
kabiye,Kabiye,Africa,8.96816,0.495023,kabi1261,kbp,Atlantic-Congo,Kabiyé
kalabariijo,Kalabari-Ijo,Africa,4.53194,6.69539,kala1381,ijn,Ijoid,Kalabari
kedayan,Kedayan,Papunesia,,,keda1250,kxd,Austronesian,Kedayan
keo,Keo,Papunesia,-8.8704,121.256,keoo1238,xxk,Austronesian,Kéo
kera,Kera,Africa,9.88165,15.1419,kera1255,ker,Afro-Asiatic,Kera
khowar,Khowar,Eurasia,36.0,72.0,khow1242,khw,Indo-European,Khowar
korean,Korean,Eurasia,37.5,128.0,kore1280,kor,Koreanic,Korean
kumzari,Kumzari,Eurasia,26.1602,56.4202,kumz1235,zum,Indo-European,Kumzari
kunama,Kunama,Africa,14.5879,37.5292,kuna1268,kun,,Kunama
liverpoolenglish,Liverpool English,Eurasia,53.0,-1.0,stan1293,eng,Indo-European,English
lizu,Lizu,Eurasia,26.91,98.94,lisu1250,lis,Sino-Tibetan,Lisu
lowerxumi,Lower Xumi,Eurasia,28.3895,100.4,shix1238,sxg,Sino-Tibetan,Shixing
luanyjangdinka,Luanyjang Dinka,Africa,8.81115,28.0613,sout2832,dik,Nilotic,Southwestern Dinka
lusogalutenga,Lusoga Lutenga,Africa,0.40456,33.3942,soga1242,xog,Atlantic-Congo,Soga
luxembourgish,Luxembourgish,Eurasia,49.6839,6.14931,luxe1241,ltz,Indo-European,Moselle Franconian
lyonnaisfrancoprovencal,Lyonnais (Francoprovencal),Eurasia,45.8051,6.48152,fran1260,frp,Indo-European,Arpitan
mahmeri,Mah Meri,Eurasia,2.717,101.676,besi1244,mhe,Austroasiatic,Besisi
makasar,Makasar,Papunesia,-5.65551,119.838,maka1311,mak,Austronesian,Makasar
malayalamnamboodiridialect,Malayalam Namboodiri Dialect,Eurasia,9.59208,76.7651,mala1464,mal,Dravidian,Malayalam
mambay,Mambay,Africa,9.6121,14.0013,mamb1294,mcs,Atlantic-Congo,Mambai
mapudungun,Mapudungun,South America,-38.7392,-71.277,mapu1245,arn,Araucanian,Mapudungun
mavea,Mavea,Papunesia,-15.4316,167.241,mafe1237,mkv,Austronesian,Mafea
mennoniteplaudietschcanadianoldcolony,Mennonite Plaudietsch (Canadian Old Colony),North America,49.578028,-109.353868,plau1238,pdt,Indo-European,Plautdietsch
mono,Mono,Africa,4.57915,19.8264,mono1270,mnh,Atlantic-Congo,Mono (Democratic Republic of Congo)
monolakenorthernpaiute,Mono Lake Northern Paiute,North America,37.1935,-119.347,mono1275,mnr,Uto-Aztecan,Mono (USA)
munji,Munji,Eurasia,35.9321,70.9404,munj1244,mnj,Indo-European,Munji
murcianspanish,Murcian Spanish,Eurasia,,,murc1238,spa,Indo-European,Murcian
nara,Nara,Africa,15.3251,37.499,nara1262,nrb,,Nara
nen,Nen,Papunesia,-8.62183,142.032,nenn1238,nqn,Yam,Nen
nepali,Nepali,Eurasia,28.0,85.0,nepa1254,npi,Indo-European,Nepali
newzealandenglish,New Zealand English,Eurasia,,,newz1240,eng,Indo-European,New Zealand English
niuean,Niuean,Papunesia,-19.06,-169.86,niue1239,niu,Austronesian,Niuean
nivacleschichaamlhavos,Nivacle Schichaam Lhavos,South America,-22.8557,-61.7606,niva1238,cag,Matacoan,Nivaclé
northgerman,North German,Eurasia,48.649,12.4676,stan1295,deu,Indo-European,German
northwestsahaptin,Northwest Sahaptin,North America,46.2655,-120.756,yaki1237,yak,Sahaptian,Northwest Sahaptin
nuosoyi,Nuoso Yi,Eurasia,28.1947,102.121,sich1238,iii,Sino-Tibetan,Sichuan Yi
nuuchahnulth,Nuuchahnulth,North America,49.67,-126.67,nuuc1236,nuk,Wakashan,Nuu-chah-nulth
palula,Palula,Eurasia,35.5096,71.8421,phal1254,phl,Indo-European,Palula
persianfarsi,Persian (Farsi),Eurasia,32.9,53.3,west2369,prs,Indo-European,Western Farsi
pitjantjatjara,Pitjantjatjara,Australia,-26.9704,131.357,pitj1243,pjt,Pama-Nyungan,Pitjantjatjara
polish,Polish,Eurasia,51.8439,18.6255,poli1260,pol,Indo-European,Polish
russian,Russian,Eurasia,59.0,50.0,russ1263,rus,Indo-European,Russian
salasacaquichua,Salasaca Quichua,South America,-1.35447,-78.3953,sala1272,qxl,Quechuan,Tungurahua Highland Quichua
sandawe,Sandawe,Africa,-5.26918,35.4808,sand1273,sad,,Sandawe
seri,Seri,North America,28.9877,-112.384,seri1257,sei,,Seri
setswanasouthafrica,Setswana South Africa,Africa,-24.368,24.7587,tswa1253,tsn,Atlantic-Congo,Tswana
shanghaichinese,Shanghai Chinese,Eurasia,29.8621,119.682,wuch1236,wuu,Sino-Tibetan,Wu Chinese
shilluk,Shilluk,Africa,9.85472,31.7926,shil1265,shk,Nilotic,Shilluk
shipibo,Shipibo,South America,-7.17105,-74.8219,ship1254,shp,Pano-Tacanan,Shipibo-Conibo
shiwilujebero,Shiwilu (Jebero),South America,-5.40317,-76.4103,jebe1250,jeb,Cahuapanan,Jebero
sindhi,Sindhi,Eurasia,26.0,69.0,sind1272,snd,Indo-European,Sindhi
slovak,Slovak,Eurasia,48.545705,18.78479,slov1269,slk,Indo-European,Slovak
slovene,Slovene,Eurasia,46.2543,14.7766,slov1268,slv,Indo-European,Slovenian
southeasternpashayi,Southeastern Pashayi,Eurasia,34.43099,70.30351,sout2672,psi,Indo-European,Southeast Pashayi
spokane,Spokane,North America,47.9087,-118.062,spok1245,spo,Salishan,Spokane
standardaustriangerman,Standard Austrian German,Eurasia,47.9232,13.246,bava1246,bar,Indo-European,Bavarian
standardchinesebeijing,Standard Chinese (Beijing),Eurasia,40.0209,116.228,mand1415,cmn,Sino-Tibetan,Mandarin Chinese
standardestonian,Standard Estonian,Eurasia,58.55,25.82,esto1258,ekk,Uralic,Estonian
standardgeorgian,Standard Georgian,Eurasia,41.850397,43.78613,nucl1302,kat,Kartvelian,Georgian
standardmalaybrunei,Standard Malay (Brunei),Eurasia,3.08896,101.699,stan1306,zsm,Austronesian,Standard Malay
standardmoderngreek,Standard Modern Greek,Eurasia,38.36,23.13,mode1248,ell,Indo-European,Modern Greek
standardyiddish,Standard Yiddish,Eurasia,51.75,19.42,east2295,ydd,Indo-European,Eastern Yiddish
sumisema,Sumi (Sema),Eurasia,25.9996,94.4235,sumi1235,nsm,Sino-Tibetan,Sumi Naga
swedish,Swedish,Eurasia,59.800634,17.389526,swed1254,swe,Indo-European,Swedish
taba,Taba,Papunesia,0.07337,127.423,east2440,mky,Austronesian,East Makian
tamambo,Tamambo,Papunesia,-15.6835,167.16,malo1243,mla,Austronesian,Tamambo
tamil,Tamil,Eurasia,10.520219,78.825989,tami1289,tam,Dravidian,Tamil
tashlhiytberber,Tashlhiyt Berber,Africa,29.7854,-7.77879,tach1250,shi,Afro-Asiatic,Tachelhit
tausugsuluk,Tausug (Suluk),Papunesia,5.12236,118.88,taus1251,tsg,Austronesian,Tausug
telugu,Telugu,North America,19.2343,-101.729,tepe1278,tep,Uto-Aztecan,Tepecano
temne,Temne,Africa,8.90294,-12.3331,timn1235,tem,Atlantic-Congo,Timne
tenaquichua,Tena Quichua,South America,-0.76271,-77.5404,tena1240,quw,Quechuan,Tena Lowland Quichua
tera,Tera,Africa,11.0376,11.80953,tera1251,ttr,Afro-Asiatic,Tera
thai,Thai,Eurasia,14.192,100.671,thai1261,tha,Tai-Kadai,Thai
thedutchdialectofhasselt,The Dutch dialect of Hasselt,,,,,nld,,
thedutchdialectofweert,The Dutch dialect of Weert,,,,,nld,,
theflemishbrabantdialectoforsmaalgussenhoven,The Flemish-Brabant dialect of Orsmaal-Gussenhoven,Eurasia,,,brab1243,nld,Indo-European,Brabants
tilquiapanzapotec,Tilquiapan Zapotec,North America,16.8529,-96.6321,tilq1235,zts,Otomanguean,Tilquiapan Zapotec
tukangbesi,Tukang Besi,Papunesia,-5.30994,123.578,tuka1248,khc,Austronesian,Tukang Besi North
turkish,Turkish,Eurasia,39.8667,32.8667,nucl1301,tur,Turkic,Turkish
tynesideenglish,Tyneside English,Eurasia,,,nort3300,eng,Indo-European,Northumberland English
ukrainian,Ukrainian,Eurasia,49.796,29.945,ukra1253,ukr,Indo-European,Ukrainian
uppersaxonchemnitzdialect,Upper Saxon (Chemnitz dialect,Eurasia,51.152,12.692,uppe1400,sxu,Indo-European,Central East Middle German
uppersorbian,Upper Sorbian,Eurasia,51.2403,14.4098,uppe1395,hsb,Indo-European,Upper Sorbian
upperxumi,Upper Xumi,Eurasia,28.3895,100.4,shix1238,sxg,Sino-Tibetan,Shixing
yine,Yine,South America,-11.1086,-73.3087,yine1238,pib,Arawakan,Yine
zurichgerman,Zurich German,Eurasia,47.0516,8.46419,swis1247,gsw,Indo-European,Central Alemannic
